"","L3_Control_heterozygous_1","L3_Control_heterozygous_2","L3_Control_heterozygous_3","L3_Control_heterozygous_4","L3_Control_heterozygous_5","L3_Control_heterozygous_6","L3_Control_heterozygous_7","L3_Control_heterozygous_8","L3_Pantethine_heterozygous_1","L3_Pantethine_heterozygous_2","L3_Pantethine_heterozygous_3","L3_Pantethine_heterozygous_4","L3_Pantethine_heterozygous_5","L3_Pantethine_heterozygous_6","L3_Pantethine_heterozygous_7","L3_Pantethine_heterozygous_8","L3_VitaminB5_heterozygous_1","L3_VitaminB5_heterozygous_2","L3_VitaminB5_heterozygous_3","L3_VitaminB5_heterozygous_4","L3_VitaminB5_heterozygous_5","L3_VitaminB5_heterozygous_6","L3_VitaminB5_heterozygous_7"
"fc422f35469c73aec33f8dbf4854e86c",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"755830e5c85696b6393acbbfad8560d6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
"183fe3084444886321353a79e150f165",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"11f598fa17b9cccdf65ac9b30c034b35",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"ac1c022de0a81c726172c203eb310491",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55a94e59856927811e2cc049a22a037a",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"62fb59830c9017321264c9f2024d3022",0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"673a0dba72191ce68a5e2cee2cc99c88",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"43456847e927731b9fc879f48d2fea9e",0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05107607b9569ad123f853e89a846b8f",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3cc30932a46c929d53ce8c3971929e0e",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"fbd20f64dc20164ddfa0a5cb856a59c5",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"430bbf9594aa6de2c632c2d34ac3ada1",0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"8d220048e350e437927253f01a6986b7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0
"8a978a3c8a38a7f5da097e0af7ce3e1c",0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"d920d2ea5271700f100f7d87ad29fca0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
