;Wild type_1;dPANK/fbl_1;dPANK/fbl_2;Wild type_2;Wild type_3;Wild type_4;dPANK/fbl_3;dPANK/fbl_4;Wild type_5;dPANK/fbl_5;Kingdom;Phylum;Class;Order;Family;Genus;Species
534638404d7171f531f4b4b5541dca4a;0;0;0;0;0;0;1;0;0;0;Bacteria;Acidobacteria;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae;Subgroup 10;uncultured bacterium
54262a0c9b16e51da51ef726b8895b82;0;3;0;0;0;0;1;0;0;0;Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;;
54cdff8b596cb5742f617669fb988999;0;0;0;0;0;2;0;1;0;0;Bacteria;Chloroflexi;Anaerolineae;SBR1031;A4b;uncultured organism;uncultured organism
557c2e43db598e67fb4ec673696dceb3;0;0;0;0;0;0;0;0;0;2;Bacteria;WPS-2;uncultured bacterium;uncultured bacterium;uncultured bacterium;uncultured bacterium;uncultured bacterium
55922dfcc42aa3d9d3514dd9330f08f8;0;0;0;1;0;0;0;0;0;0;Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Acetobacter;
57f254f1da2d214fc9f5938150ea6289;0;0;0;0;0;0;0;0;2;0;Bacteria;Proteobacteria;Gammaproteobacteria;Salinisphaerales;Salinisphaeraceae;Salinisphaera;uncultured bacterium
58622e8a3678db298a447d0f2af4d455;0;0;0;0;0;1;0;0;0;0;Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;;
58ad1147d6a5081b4876e0e801f609dc;0;0;0;2;0;0;0;0;0;0;Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Acetobacter;
58eb5f3ab16808a514aa5cd8f8ef42b5;0;2;0;1;0;0;0;0;0;0;Bacteria;Bacteroidetes;Bacteroidia;Chitinophagales;Chitinophagaceae;;
59499fd5d0926056be8d1c94580e55d6;0;0;0;2;0;0;0;0;0;0;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Loktanella;uncultured bacterium
59b6dad89dfd52bd7382a1608f62f80a;0;0;0;0;0;0;1;0;0;0;Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Hoppeia;uncultured bacterium
5a586869c620603b3eebca5515fa8d30;0;0;0;0;0;1;1;0;0;1;Bacteria;Proteobacteria;Gammaproteobacteria;Salinisphaerales;Salinisphaeraceae;Salinisphaera;uncultured bacterium
5ad4165e496bf69231e15a076175b82b;0;0;0;0;0;0;0;1;0;0;Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Marinobacteraceae;Marinobacter;
